RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,PairedEnd,Source,Endedness
ERR4319927,ERS4805133,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319930,ERS4805134,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319936,ERS4805135,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319933,ERS4805136,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319918,ERS4805137,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319915,ERS4805138,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319912,ERS4805139,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319921,ERS4805140,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319924,ERS4805141,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319928,ERS4805142,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319931,ERS4805143,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319937,ERS4805144,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319934,ERS4805145,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319919,ERS4805146,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319916,ERS4805147,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319913,ERS4805148,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319922,ERS4805149,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319925,ERS4805150,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319929,ERS4805151,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319932,ERS4805152,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319938,ERS4805153,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319935,ERS4805154,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319920,ERS4805155,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319917,ERS4805156,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319914,ERS4805157,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319923,ERS4805158,ERP122753,rRNA,ERP122753,True,SRA,
ERR4319926,ERS4805159,ERP122753,rRNA,ERP122753,True,SRA,
SRR2968323,SRS1185350,SRP066848,PolyA,SRP066848,True,SRA,
SRR2968324,SRS1185349,SRP066848,PolyA,SRP066848,True,SRA,
SRR2968325,SRS1185351,SRP066848,PolyA,SRP066848,True,SRA,
SRR2968326,SRS1185348,SRP066848,PolyA,SRP066848,True,SRA,
SRR2968327,SRS1185347,SRP066848,PolyA,SRP066848,True,SRA,
SRR2968328,SRS1185346,SRP066848,PolyA,SRP066848,True,SRA,
SRR3161757,SRS1322707,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161758,SRS1322706,SRP069883,PolyA,SRP069883,True,SRA,
