RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,DatasetName,DatasetAbbrev,Author,PairedEnd,Source,CellLine,Producer,ProductType,Glutamine,GlutamineConcentration,CulturePhase,Host,CellLineSource,CellLineExact,Temperature,SelectionMarker,Growth,ProcessType,Productivity,Stability ,FullSampleName
ERR4319927,ERS4805133,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Non-Commercial,ATCC,37,GS+/-,NA,FedBatch,NA,NA,ATCC_host
ERR4319930,ERS4805134,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Commercial,Horizon,37,GS-/-,NA,FedBatch,NA,NA,Horizon_host
ERR4319936,ERS4805135,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Commercial,Horizon,37,ProcessEvolved,NA,FedBatch,NA,NA,ProcessEvolved_Horizon_host
ERR4319933,ERS4805136,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,High,TRUE,LowCN_stable
ERR4319918,ERS4805137,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Low,FALSE,LowCN_unstable
ERR4319915,ERS4805138,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,MedCN_stable
ERR4319912,ERS4805139,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,FALSE,MedCN_unstable
ERR4319921,ERS4805140,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,HighCN_stable
ERR4319924,ERS4805141,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,High,FALSE,HighCN_unstable
ERR4319928,ERS4805142,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Non-Commercial,ATCC,37,GS+/-,NA,FedBatch,NA,NA,ATCC_host
ERR4319931,ERS4805143,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Commercial,Horizon,37,GS-/-,NA,FedBatch,NA,NA,Horizon_host
ERR4319937,ERS4805144,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Commercial,Horizon,37,ProcessEvolved,NA,FedBatch,NA,NA,ProcessEvolved_Horizon_host
ERR4319934,ERS4805145,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,High,TRUE,LowCN_stable
ERR4319919,ERS4805146,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Low,FALSE,LowCN_unstable
ERR4319916,ERS4805147,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,MedCN_stable
ERR4319913,ERS4805148,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,FALSE,MedCN_unstable
ERR4319922,ERS4805149,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,HighCN_stable
ERR4319925,ERS4805150,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,High,FALSE,HighCN_unstable
ERR4319929,ERS4805151,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Non-Commercial,ATCC,37,GS+/-,NA,FedBatch,NA,NA,ATCC_host
ERR4319932,ERS4805152,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Commercial,Horizon,37,GS-/-,NA,FedBatch,NA,NA,Horizon_host
ERR4319938,ERS4805153,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,4,EarlyExp,TRUE,Commercial,Horizon,37,ProcessEvolved,NA,FedBatch,NA,NA,ProcessEvolved_Horizon_host
ERR4319935,ERS4805154,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,High,TRUE,LowCN_stable
ERR4319920,ERS4805155,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Low,FALSE,LowCN_unstable
ERR4319917,ERS4805156,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,MedCN_stable
ERR4319914,ERS4805157,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,FALSE,MedCN_unstable
ERR4319923,ERS4805158,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,HighCN_stable
ERR4319926,ERS4805159,ERP122753,rRNA,ERP122753,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,High,FALSE,HighCN_unstable
SRR2968323,SRS1185350,SRP066848,PolyA,SRP066848,vanWijk,vW,van Wijk,TRUE,SRA,CHO-K1,FALSE,NA,F-12 Ham,NA,NA,TRUE,,,NA,NA,NA,NA,NA,NA,WT
SRR2968324,SRS1185349,SRP066848,PolyA,SRP066848,vanWijk,vW,van Wijk,TRUE,SRA,CHO-K1,FALSE,NA,F-12 Ham,NA,NA,TRUE,,,NA,NA,NA,NA,NA,NA,WT
SRR2968325,SRS1185351,SRP066848,PolyA,SRP066848,vanWijk,vW,van Wijk,TRUE,SRA,CHO-K1,FALSE,NA,F-12 Ham,NA,NA,FALSE,,,NA,NA,NA,NA,NA,NA,CHOpgsA745
SRR2968326,SRS1185348,SRP066848,PolyA,SRP066848,vanWijk,vW,van Wijk,TRUE,SRA,CHO-K1,FALSE,NA,F-12 Ham,NA,NA,FALSE,,,NA,NA,NA,NA,NA,NA,CHOpgsA745
SRR2968327,SRS1185347,SRP066848,PolyA,SRP066848,vanWijk,vW,van Wijk,TRUE,SRA,CHO-K1,FALSE,NA,F-12 Ham,NA,NA,FALSE,,,NA,NA,NA,NA,NA,NA,CHOpgsA745-XylT1
SRR2968328,SRS1185346,SRP066848,PolyA,SRP066848,vanWijk,vW,van Wijk,TRUE,SRA,CHO-K1,FALSE,NA,F-12 Ham,NA,NA,FALSE,,,NA,NA,NA,NA,NA,NA,CHOpgsA745-XylT1
SRR3161757,SRS1322707,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_72h
SRR3161758,SRS1322706,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_72h
SRR3161759,SRS1322704,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_72h
SRR3161760,SRS1322705,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_72h
SRR3161761,SRS1322703,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_84h
SRR3161762,SRS1322702,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_84h
SRR3161763,SRS1322700,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_84h
SRR3161764,SRS1322701,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_84h
SRR3161765,SRS1322699,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_96h
SRR3161766,SRS1322698,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_96h
SRR3161767,SRS1322696,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_96h
SRR3161768,SRS1322697,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_96h
SRR3161769,SRS1322695,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_108h
SRR3161770,SRS1322693,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_108h
