state (Emission order)	H3K27me3	H3K9me3	H3K36me3	H3K4me1	H3K27ac	H3K4me3
1	0.18139858200239506	0.007127330687114476	8.085343016924901E-5	0.0024961181784164126	2.4039568841146208E-4	3.4634435590971007E-4
2	0.0021168162744945747	0.0046203348941858445	0.00170514977928284	8.658702342321433E-4	9.853624889323615E-5	1.6718158040284492E-4
3	0.031308621146761445	0.3622377718240456	0.001085507001611512	1.7117474781166422E-4	2.852898891621401E-4	2.1501656028185504E-4
4	1.322727686926518E-4	0.003908552868615066	0.7201798195376603	0.006474984233452822	0.0012965350139339663	3.3945880775488026E-5
5	0.0021378411086774456	0.002193814379212253	0.8550086322293141	0.7985466355794374	0.3777259755811511	0.18283430124065994
6	9.154833516585611E-4	3.285735055970175E-4	0.011818013882785802	0.6454903025761874	0.018374973836157767	0.003256741912752778
7	2.05104204802961E-4	3.8480911075975505E-4	0.006112550699641481	0.9193822215811828	0.8700387244466877	0.03931020081984696
8	8.183161142771875E-4	0.004070524618017188	0.005847083192973621	0.1289335152249344	0.7405460664791701	0.11736003266534382
9	0.00360102239416248	0.0018159905606168363	0.06622268558860624	0.00950452273312995	0.9733128257503053	0.996214635123601
10	8.171823220117188E-5	1.750266248180407E-4	0.008613615767240217	0.8487954537856953	0.946575522978859	0.9696026236050362
11	0.004474824136722781	0.003341911574282487	0.015267695103320588	0.47790184156440724	0.14425864876795258	0.9208803687586311
