Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,Study,cell_lines,producer,library_strat
ERR4319927,2021-02-01T15:29:55Z,2021-02-05T11:50:10Z,49203846,14761153800,49203846,300,5550,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319927/ERR4319927.lite.1,ERX4268294,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,213,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805133,SAMEA7040944,simple,10029,Cricetulus griseus,SAMEA7040944,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,9BE7E49551070FB81357FAD91DCC0B80,98487C90B0200F4795905ED6C81908F6,Dhiman,CHO-K1,TRUE,rRNA
ERR4319930,2021-02-01T15:29:55Z,2021-02-05T12:25:07Z,55404183,16621254900,55404183,300,6224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319930/ERR4319930.lite.1,ERX4268297,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,219,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805134,SAMEA7040945,simple,10029,Cricetulus griseus,SAMEA7040945,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,91022A27D14353A3C473E0E9F11AE984,B28DFC16A7FC483D724CD20E74DD17AA,Dhiman,CHO-K1,TRUE,rRNA
ERR4319936,2021-02-01T15:29:55Z,2021-02-05T13:16:56Z,53140306,15942091800,53140306,300,5964,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319936/ERR4319936.lite.1,ERX4268303,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,217,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805135,SAMEA7040946,simple,10029,Cricetulus griseus,SAMEA7040946,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,E539E3781E8EFAFF685F3B674D5F9D84,71E5EA9DA1D0B474C4AC69B3C7F24DB7,Dhiman,CHO-K1,TRUE,rRNA
ERR4319933,2021-02-01T15:29:55Z,2021-02-05T13:12:43Z,53858571,16157571300,53858571,300,6055,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319933/ERR4319933.lite.1,ERX4268300,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,217,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805136,SAMEA7040947,simple,10029,Cricetulus griseus,SAMEA7040947,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,6AA1815A70C01A18A6D2450E062C51C6,2D548912C222B1B38C6FA0009C93D253,Dhiman,CHO-K1,TRUE,rRNA
ERR4319918,2021-02-01T15:29:55Z,2021-02-05T11:01:17Z,56724471,17017341300,56724471,300,6402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319918/ERR4319918.lite.1,ERX4268285,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,216,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805137,SAMEA7040948,simple,10029,Cricetulus griseus,SAMEA7040948,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,67C69C99026F500C7D33E0ADAE548196,C4457654C1EB903A834B04392105D4D2,Dhiman,CHO-K1,TRUE,rRNA
ERR4319915,2021-02-01T15:29:55Z,2021-02-05T11:23:47Z,54691590,16407477000,54691590,300,6168,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319915/ERR4319915.lite.1,ERX4268282,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,212,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805138,SAMEA7040949,simple,10029,Cricetulus griseus,SAMEA7040949,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,DFBCCC4E2951542A9952057FD9C4159D,0E8053D196B8976F7C898D00E8827254,Dhiman,CHO-K1,TRUE,rRNA
ERR4319912,2021-02-01T15:29:55Z,2021-02-11T14:51:20Z,52976027,15892808100,52976027,300,6034,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319912/ERR4319912.lite.1,ERX4268279,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,215,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805139,SAMEA7040950,simple,10029,Cricetulus griseus,SAMEA7040950,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,597840ECFBD7F275317EF897B816A1F0,7688B5CD2FED085D89A32E6A8B450813,Dhiman,CHO-K1,TRUE,rRNA
ERR4319921,2021-02-01T15:29:55Z,2021-02-11T14:32:15Z,48113968,14434190400,48113968,300,5448,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319921/ERR4319921.lite.1,ERX4268288,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,213,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805140,SAMEA7040951,simple,10029,Cricetulus griseus,SAMEA7040951,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,BEA86621330FBC6A807398921827741B,E3579038665BCCFCF508FBB720AD55E6,Dhiman,CHO-K1,TRUE,rRNA
ERR4319924,2021-02-01T15:29:55Z,2021-02-05T12:05:36Z,53983506,16195051800,53983506,300,6118,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319924/ERR4319924.lite.1,ERX4268291,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,212,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805141,SAMEA7040952,simple,10029,Cricetulus griseus,SAMEA7040952,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,23F00ED875E94986D30FB90C87FEA21A,2072B62F909389FFAAB90C7A03F533B5,Dhiman,CHO-K1,TRUE,rRNA
ERR4319928,2021-02-01T15:29:55Z,2021-02-05T11:50:55Z,51401258,15420377400,51401258,300,5769,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4319/ERR4319928/ERR4319928.lite.1,ERX4268295,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,219,0,ILLUMINA,Illumina HiSeq 4000,ERP122753,PRJEB39258,,698854,ERS4805142,SAMEA7040953,simple,10029,Cricetulus griseus,SAMEA7040953,,,,,,,no,,,,,"UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES,",ERA2763209,,public,9E6F7E23E57DA10457F21A57A60B0E83,E764404B4D74A126E513FBC92B87519E,Dhiman,CHO-K1,TRUE,rRNA
