chr1_0	NW_023276806.1
chr1_1	NW_023276807.1
chr2	NC_048595.1
chr3	NC_048596.1
chr4	NC_048597.1
chr5	NC_048598.1
chr6	NC_048599.1
chr7	NC_048600.1
chr8	NC_048601.1
chr9	NC_048602.1
chr10	NC_048603.1
chrX	NC_048604.1
unplaced_scaffold_1	NW_023276808.1
unplaced_scaffold_10	NW_023276809.1
unplaced_scaffold_100	NW_023276810.1
unplaced_scaffold_101	NW_023276811.1
unplaced_scaffold_102	NW_023276812.1
unplaced_scaffold_103	NW_023276813.1
unplaced_scaffold_104	NW_023276814.1
unplaced_scaffold_105	NW_023276815.1
unplaced_scaffold_106	NW_023276816.1
unplaced_scaffold_107	NW_023276817.1
unplaced_scaffold_108	NW_023276818.1
unplaced_scaffold_109	NW_023276819.1
unplaced_scaffold_11	NW_023276820.1
unplaced_scaffold_110	NW_023276821.1
unplaced_scaffold_111	NW_023276822.1
unplaced_scaffold_112	NW_023276823.1
unplaced_scaffold_113	NW_023276824.1
unplaced_scaffold_114	NW_023276825.1
unplaced_scaffold_115	NW_023276826.1
unplaced_scaffold_116	NW_023276827.1
unplaced_scaffold_117	NW_023276828.1
unplaced_scaffold_118	NW_023276829.1
unplaced_scaffold_119	NW_023276830.1
unplaced_scaffold_12	NW_023276831.1
unplaced_scaffold_120	NW_023276832.1
unplaced_scaffold_121	NW_023276833.1
unplaced_scaffold_122	NW_023276834.1
unplaced_scaffold_123	NW_023276835.1
unplaced_scaffold_124	NW_023276836.1
unplaced_scaffold_125	NW_023276837.1
unplaced_scaffold_126	NW_023276838.1
unplaced_scaffold_127	NW_023276839.1
unplaced_scaffold_128	NW_023276840.1
unplaced_scaffold_129	NW_023276841.1
unplaced_scaffold_13	NW_023276842.1
unplaced_scaffold_130	NW_023276843.1
unplaced_scaffold_131	NW_023276844.1
unplaced_scaffold_132	NW_023276845.1
unplaced_scaffold_133	NW_023276846.1
unplaced_scaffold_134	NW_023276847.1
unplaced_scaffold_135	NW_023276848.1
unplaced_scaffold_136	NW_023276849.1
unplaced_scaffold_137	NW_023276850.1
unplaced_scaffold_138	NW_023276851.1
unplaced_scaffold_139	NW_023276852.1
unplaced_scaffold_14	NW_023276853.1
unplaced_scaffold_140	NW_023276854.1
unplaced_scaffold_141	NW_023276855.1
unplaced_scaffold_142	NW_023276856.1
unplaced_scaffold_143	NW_023276857.1
unplaced_scaffold_144	NW_023276858.1
unplaced_scaffold_145	NW_023276859.1
unplaced_scaffold_146	NW_023276860.1
unplaced_scaffold_147	NW_023276861.1
unplaced_scaffold_148	NW_023276862.1
unplaced_scaffold_149	NW_023276863.1
unplaced_scaffold_15	NW_023276864.1
unplaced_scaffold_150	NW_023276865.1
unplaced_scaffold_151	NW_023276866.1
unplaced_scaffold_152	NW_023276867.1
unplaced_scaffold_153	NW_023276868.1
unplaced_scaffold_154	NW_023276869.1
unplaced_scaffold_155	NW_023276870.1
unplaced_scaffold_156	NW_023276871.1
unplaced_scaffold_157	NW_023276872.1
unplaced_scaffold_158	NW_023276873.1
unplaced_scaffold_159	NW_023276874.1
unplaced_scaffold_16	NW_023276875.1
unplaced_scaffold_160	NW_023276876.1
unplaced_scaffold_161	NW_023276877.1
unplaced_scaffold_162	NW_023276878.1
unplaced_scaffold_163	NW_023276879.1
unplaced_scaffold_164	NW_023276880.1
unplaced_scaffold_165	NW_023276881.1
unplaced_scaffold_166	NW_023276882.1
unplaced_scaffold_167	NW_023276883.1
unplaced_scaffold_168	NW_023276884.1
unplaced_scaffold_169	NW_023276885.1
unplaced_scaffold_17	NW_023276886.1
unplaced_scaffold_170	NW_023276887.1
unplaced_scaffold_171	NW_023276888.1
unplaced_scaffold_172	NW_023276889.1
unplaced_scaffold_173	NW_023276890.1
unplaced_scaffold_174	NW_023276891.1
unplaced_scaffold_175	NW_023276892.1
unplaced_scaffold_176	NW_023276893.1
unplaced_scaffold_177	NW_023276894.1
unplaced_scaffold_178	NW_023276895.1
unplaced_scaffold_179	NW_023276896.1
unplaced_scaffold_18	NW_023276897.1
unplaced_scaffold_180	NW_023276898.1
unplaced_scaffold_181	NW_023276899.1
unplaced_scaffold_182	NW_023276900.1
unplaced_scaffold_183	NW_023276901.1
unplaced_scaffold_184	NW_023276902.1
unplaced_scaffold_185	NW_023276903.1
unplaced_scaffold_186	NW_023276904.1
unplaced_scaffold_187	NW_023276905.1
unplaced_scaffold_188	NW_023276906.1
unplaced_scaffold_189	NW_023276907.1
unplaced_scaffold_19	NW_023276908.1
unplaced_scaffold_190	NW_023276909.1
unplaced_scaffold_191	NW_023276910.1
unplaced_scaffold_192	NW_023276911.1
unplaced_scaffold_193	NW_023276912.1
unplaced_scaffold_194	NW_023276913.1
unplaced_scaffold_195	NW_023276914.1
unplaced_scaffold_196	NW_023276915.1
unplaced_scaffold_197	NW_023276916.1
unplaced_scaffold_198	NW_023276917.1
unplaced_scaffold_199	NW_023276918.1
unplaced_scaffold_2	NW_023276919.1
unplaced_scaffold_20	NW_023276920.1
unplaced_scaffold_200	NW_023276921.1
unplaced_scaffold_201	NW_023276922.1
unplaced_scaffold_202	NW_023276923.1
unplaced_scaffold_203	NW_023276924.1
unplaced_scaffold_204	NW_023276925.1
unplaced_scaffold_205	NW_023276926.1
unplaced_scaffold_206	NW_023276927.1
unplaced_scaffold_207	NW_023276928.1
unplaced_scaffold_208	NW_023276929.1
unplaced_scaffold_209	NW_023276930.1
unplaced_scaffold_21	NW_023276931.1
unplaced_scaffold_210	NW_023276932.1
unplaced_scaffold_211	NW_023276933.1
unplaced_scaffold_212	NW_023276934.1
unplaced_scaffold_213	NW_023276935.1
unplaced_scaffold_214	NW_023276936.1
unplaced_scaffold_215	NW_023276937.1
unplaced_scaffold_216	NW_023276938.1
unplaced_scaffold_217	NW_023276939.1
unplaced_scaffold_218	NW_023276940.1
unplaced_scaffold_219	NW_023276941.1
unplaced_scaffold_22	NW_023276942.1
unplaced_scaffold_220	NW_023276943.1
unplaced_scaffold_221	NW_023276944.1
unplaced_scaffold_222	NW_023276945.1
unplaced_scaffold_223	NW_023276946.1
unplaced_scaffold_224	NW_023276947.1
unplaced_scaffold_225	NW_023276948.1
unplaced_scaffold_226	NW_023276949.1
unplaced_scaffold_227	NW_023276950.1
unplaced_scaffold_228	NW_023276951.1
unplaced_scaffold_229	NW_023276952.1
unplaced_scaffold_23	NW_023276953.1
unplaced_scaffold_230	NW_023276954.1
unplaced_scaffold_231	NW_023276955.1
unplaced_scaffold_232	NW_023276956.1
unplaced_scaffold_233	NW_023276957.1
unplaced_scaffold_234	NW_023276958.1
unplaced_scaffold_235	NW_023276959.1
unplaced_scaffold_236	NW_023276960.1
unplaced_scaffold_237	NW_023276961.1
unplaced_scaffold_238	NW_023276962.1
unplaced_scaffold_239	NW_023276963.1
unplaced_scaffold_24	NW_023276964.1
unplaced_scaffold_240	NW_023276965.1
unplaced_scaffold_241	NW_023276966.1
unplaced_scaffold_242	NW_023276967.1
unplaced_scaffold_243	NW_023276968.1
unplaced_scaffold_244	NW_023276969.1
unplaced_scaffold_245	NW_023276970.1
unplaced_scaffold_246	NW_023276971.1
unplaced_scaffold_247	NW_023276972.1
unplaced_scaffold_248	NW_023276973.1
unplaced_scaffold_249	NW_023276974.1
unplaced_scaffold_25	NW_023276975.1
unplaced_scaffold_250	NW_023276976.1
unplaced_scaffold_251	NW_023276977.1
unplaced_scaffold_252	NW_023276978.1
unplaced_scaffold_253	NW_023276979.1
unplaced_scaffold_254	NW_023276980.1
unplaced_scaffold_255	NW_023276981.1
unplaced_scaffold_256	NW_023276982.1
unplaced_scaffold_257	NW_023276983.1
unplaced_scaffold_258	NW_023276984.1
unplaced_scaffold_259	NW_023276985.1
unplaced_scaffold_26	NW_023276986.1
unplaced_scaffold_260	NW_023276987.1
unplaced_scaffold_261	NW_023276988.1
unplaced_scaffold_262	NW_023276989.1
unplaced_scaffold_263	NW_023276990.1
unplaced_scaffold_264	NW_023276991.1
unplaced_scaffold_265	NW_023276992.1
unplaced_scaffold_266	NW_023276993.1
unplaced_scaffold_267	NW_023276994.1
unplaced_scaffold_268	NW_023276995.1
unplaced_scaffold_269	NW_023276996.1
unplaced_scaffold_27	NW_023276997.1
unplaced_scaffold_270	NW_023276998.1
unplaced_scaffold_271	NW_023276999.1
unplaced_scaffold_272	NW_023277000.1
unplaced_scaffold_273	NW_023277001.1
unplaced_scaffold_274	NW_023277002.1
unplaced_scaffold_275	NW_023277003.1
unplaced_scaffold_276	NW_023277004.1
unplaced_scaffold_277	NW_023277005.1
unplaced_scaffold_278	NW_023277006.1
unplaced_scaffold_279	NW_023277007.1
unplaced_scaffold_28	NW_023277008.1
unplaced_scaffold_280	NW_023277009.1
unplaced_scaffold_281	NW_023277010.1
unplaced_scaffold_282	NW_023277011.1
unplaced_scaffold_283	NW_023277012.1
unplaced_scaffold_284	NW_023277013.1
unplaced_scaffold_285	NW_023277014.1
unplaced_scaffold_286	NW_023277015.1
unplaced_scaffold_287	NW_023277016.1
unplaced_scaffold_288	NW_023277017.1
unplaced_scaffold_289	NW_023277018.1
unplaced_scaffold_29	NW_023277019.1
unplaced_scaffold_290	NW_023277020.1
unplaced_scaffold_291	NW_023277021.1
unplaced_scaffold_292	NW_023277022.1
unplaced_scaffold_293	NW_023277023.1
unplaced_scaffold_294	NW_023277024.1
unplaced_scaffold_295	NW_023277025.1
unplaced_scaffold_296	NW_023277026.1
unplaced_scaffold_297	NW_023277027.1
unplaced_scaffold_298	NW_023277028.1
unplaced_scaffold_299	NW_023277029.1
unplaced_scaffold_3	NW_023277030.1
unplaced_scaffold_30	NW_023277031.1
unplaced_scaffold_300	NW_023277032.1
unplaced_scaffold_301	NW_023277033.1
unplaced_scaffold_302	NW_023277034.1
unplaced_scaffold_303	NW_023277035.1
unplaced_scaffold_304	NW_023277036.1
unplaced_scaffold_305	NW_023277037.1
unplaced_scaffold_306	NW_023277038.1
unplaced_scaffold_307	NW_023277039.1
unplaced_scaffold_308	NW_023277040.1
unplaced_scaffold_309	NW_023277041.1
unplaced_scaffold_31	NW_023277042.1
unplaced_scaffold_310	NW_023277043.1
unplaced_scaffold_311	NW_023277044.1
unplaced_scaffold_312	NW_023277045.1
unplaced_scaffold_313	NW_023277046.1
unplaced_scaffold_314	NW_023277047.1
unplaced_scaffold_315	NW_023277048.1
unplaced_scaffold_316	NW_023277049.1
unplaced_scaffold_317	NW_023277050.1
unplaced_scaffold_318	NW_023277051.1
unplaced_scaffold_319	NW_023277052.1
unplaced_scaffold_32	NW_023277053.1
unplaced_scaffold_320	NW_023277054.1
unplaced_scaffold_321	NW_023277055.1
unplaced_scaffold_322	NW_023277056.1
unplaced_scaffold_323	NW_023277057.1
unplaced_scaffold_324	NW_023277058.1
unplaced_scaffold_325	NW_023277059.1
unplaced_scaffold_326	NW_023277060.1
unplaced_scaffold_327	NW_023277061.1
unplaced_scaffold_328	NW_023277062.1
unplaced_scaffold_329	NW_023277063.1
unplaced_scaffold_33	NW_023277064.1
unplaced_scaffold_330	NW_023277065.1
unplaced_scaffold_331	NW_023277066.1
unplaced_scaffold_332	NW_023277067.1
unplaced_scaffold_333	NW_023277068.1
unplaced_scaffold_334	NW_023277069.1
unplaced_scaffold_335	NW_023277070.1
unplaced_scaffold_336	NW_023277071.1
unplaced_scaffold_337	NW_023277072.1
unplaced_scaffold_338	NW_023277073.1
unplaced_scaffold_339	NW_023277074.1
unplaced_scaffold_34	NW_023277075.1
unplaced_scaffold_340	NW_023277076.1
unplaced_scaffold_341	NW_023277077.1
unplaced_scaffold_342	NW_023277078.1
unplaced_scaffold_343	NW_023277079.1
unplaced_scaffold_344	NW_023277080.1
unplaced_scaffold_345	NW_023277081.1
unplaced_scaffold_346	NW_023277082.1
unplaced_scaffold_347	NW_023277083.1
unplaced_scaffold_348	NW_023277084.1
unplaced_scaffold_349	NW_023277085.1
unplaced_scaffold_35	NW_023277086.1
unplaced_scaffold_350	NW_023277087.1
unplaced_scaffold_351	NW_023277088.1
unplaced_scaffold_352	NW_023277089.1
unplaced_scaffold_353	NW_023277090.1
unplaced_scaffold_354	NW_023277091.1
unplaced_scaffold_355	NW_023277092.1
unplaced_scaffold_356	NW_023277093.1
unplaced_scaffold_357	NW_023277094.1
unplaced_scaffold_358	NW_023277095.1
unplaced_scaffold_359	NW_023277096.1
unplaced_scaffold_36	NW_023277097.1
unplaced_scaffold_360	NW_023277098.1
unplaced_scaffold_361	NW_023277099.1
unplaced_scaffold_362	NW_023277100.1
unplaced_scaffold_363	NW_023277101.1
unplaced_scaffold_364	NW_023277102.1
unplaced_scaffold_365	NW_023277103.1
unplaced_scaffold_366	NW_023277104.1
unplaced_scaffold_367	NW_023277105.1
unplaced_scaffold_368	NW_023277106.1
unplaced_scaffold_369	NW_023277107.1
unplaced_scaffold_37	NW_023277108.1
unplaced_scaffold_370	NW_023277109.1
unplaced_scaffold_371	NW_023277110.1
unplaced_scaffold_372	NW_023277111.1
unplaced_scaffold_373	NW_023277112.1
unplaced_scaffold_374	NW_023277113.1
unplaced_scaffold_375	NW_023277114.1
unplaced_scaffold_376	NW_023277115.1
unplaced_scaffold_377	NW_023277116.1
unplaced_scaffold_378	NW_023277117.1
unplaced_scaffold_379	NW_023277118.1
unplaced_scaffold_38	NW_023277119.1
unplaced_scaffold_380	NW_023277120.1
unplaced_scaffold_381	NW_023277121.1
unplaced_scaffold_382	NW_023277122.1
unplaced_scaffold_383	NW_023277123.1
unplaced_scaffold_384	NW_023277124.1
unplaced_scaffold_385	NW_023277125.1
unplaced_scaffold_386	NW_023277126.1
unplaced_scaffold_387	NW_023277127.1
unplaced_scaffold_388	NW_023277128.1
unplaced_scaffold_389	NW_023277129.1
unplaced_scaffold_39	NW_023277130.1
unplaced_scaffold_390	NW_023277131.1
unplaced_scaffold_391	NW_023277132.1
unplaced_scaffold_392	NW_023277133.1
unplaced_scaffold_393	NW_023277134.1
unplaced_scaffold_394	NW_023277135.1
unplaced_scaffold_395	NW_023277136.1
